"","names","contbr_city","contbr_st","n","location","lat","lon"
"109","Webb","FORESTVILLE","MD",2," FORESTVILLE",38.84511,-76.87497
"110","Webb","FORT LAUDERDALE","FL",1," FORT LAUDERDALE",26.12231,-80.14338
"111","Webb","FORT MYERS","FL",4," FORT MYERS",26.62168,-81.84059
"112","Webb","FORT WAYNE","IN",1," FORT WAYNE",41.1306,-85.12886
"113","Webb","FORT WORTH","TX",2," FORT WORTH",32.72541,-97.32085
"114","Webb","FPO","AP",1," FPO",26.53333,-78.7
"115","Webb","FRAMINGHAM","MA",2," FRAMINGHAM",42.27926,-71.41617
"116","Webb","FREDERICKSBURG","VA",3," FREDERICKSBURG",38.30318,-77.46054
"117","Webb","FREELAND","WA",1," FREELAND",43.52503,-84.12276
"118","Webb","GAINESVILLE","VA",3," GAINESVILLE",29.65163,-82.32483
"119","Webb","GARRETT PARK","MD",1," GARRETT PARK",39.03816,-77.09303
"120","Webb","GEORGETOWN","KY",1," GEORGETOWN",5.41123,100.33543
"121","Webb","GLEN ALLEN","VA",1," GLEN ALLEN",37.66598,-77.50637
"122","Webb","GOLD CANYON","AZ",2," GOLD CANYON",33.37145,-111.43691
"123","Webb","GRAPEVINE","TX",1," GRAPEVINE",32.93429,-97.07807
"124","Webb","GREAT FALLS","VA",1," GREAT FALLS",47.50024,-111.30081
"125","Webb","GREEN RIVER","WY",2," GREEN RIVER",41.52858,-109.46625
"126","Webb","GREENFIELD","WI",1," GREENFIELD",42.9614,-88.01259
"127","Webb","GREENSBORO","NC",2," GREENSBORO",36.07264,-79.79198
"128","Webb","HAMPTON","VA",1," HAMPTON",37.02987,-76.34522
"129","Webb","HANOVER","IL",1," HANOVER",52.37052,9.73322
"130","Webb","HARRINGTON PARK","NJ",1," HARRINGTON PARK",40.98371,-73.97986
"131","Webb","HAYMARKET","VA",2," HAYMARKET",-33.87868,151.20526
"132","Webb","HAYWARD","CA",3," HAYWARD",37.66882,-122.0808
"133","Webb","HENRICO","VA",3," HENRICO",37.45771,-77.29646
"134","Webb","HERMITAGE","TN",1," HERMITAGE",41.23339,-80.44868
"135","Webb","HERNDON","VA",5," HERNDON",38.96955,-77.3861
"136","Webb","HERTFORD","NC",1," HERTFORD",51.79588,-0.07854
"137","Webb","HEWITT","TX",1," HEWITT",31.46239,-97.19584
"138","Webb","HIGHLANDS","NC",4," HIGHLANDS",27.3434,-81.34097
"139","Webb","HINGHAM","MA",1," HINGHAM",42.24177,-70.88977
"140","Webb","HOBOKEN","NJ",1," HOBOKEN",40.74399,-74.03236
"141","Webb","HONOLULU","HI",5," HONOLULU",21.45543,-157.96138
"142","Webb","HOPKINTON","NH",1," HOPKINTON",41.46121,-71.77757
"143","Webb","HOUGHTON","MI",3," HOUGHTON",47.12187,-88.56901
"144","Webb","HOUSTON","TX",11," HOUSTON",29.76328,-95.36327
"145","Webb","HUNTINGTON","NY",1," HUNTINGTON",38.41925,-82.44515
"146","Webb","INCLINE VILLAGE","NV",1," INCLINE VILLAGE",39.2513,-119.97297
"147","Webb","IRVINE","CA",7," IRVINE",33.66946,-117.82311
"148","Webb","ISLAMORADA","FL",1," ISLAMORADA",24.9243,-80.62784
"149","Webb","ITHACA","NY",3," ITHACA",42.44063,-76.49661
"150","Webb","JACKSON","WY",1," JACKSON",39.0085,-94.34609
"151","Webb","JERSEY CITY","NJ",1," JERSEY CITY",40.72816,-74.07764
"152","Webb","KAHULUI","HI",1," KAHULUI",20.89472,-156.47
"153","Webb","KAILUA","HI",2," KAILUA",21.40222,-157.73944
"154","Webb","KERRVILLE","TX",1," KERRVILLE",30.04743,-99.14032
"155","Webb","KEY LARGO","FL",1," KEY LARGO",25.08652,-80.44728
"156","Webb","KILL DEVIL HILLS","NC",1," KILL DEVIL HILLS",36.03072,-75.67601
"157","Webb","KING WILLIAM","VA",2," KING WILLIAM",37.68736,-77.01358
"158","Webb","KINGS MOUNTAIN","KY",1," KINGS MOUNTAIN",35.24513,-81.34119
"159","Webb","KINGSPORT","TN",2," KINGSPORT",36.54843,-82.56182
"160","Webb","KNOXVILLE","TN",1," KNOXVILLE",35.96064,-83.92074
"161","Webb","LA PORTE","TX",1," LA PORTE",29.66578,-95.01937
"162","Webb","LAFAYETTE","CA",1," LAFAYETTE",30.22409,-92.01984
"163","Webb","LAKE FOREST PARK","WA",1," LAKE FOREST PARK",47.75676,-122.28096
"164","Webb","LAKE MILLS","WI",1," LAKE MILLS",43.08139,-88.91177
"165","Webb","LAS VEGAS","NV",4," LAS VEGAS",36.17497,-115.13722
"166","Webb","LAUGHLINTOWN","PA",1," LAUGHLINTOWN",40.21202,-79.19781
"167","Webb","LEAGUE CITY","TX",1," LEAGUE CITY",29.50745,-95.09493
"168","Webb","LEBANON","OR",1," LEBANON",33.83333,35.83333
"169","Webb","LELAND","NC",1," LELAND",34.25628,-78.04471
"170","Webb","LEXINGTON","VA",1," LEXINGTON",33.90233,-81.27219
"171","Webb","LINDENHURST","IL",1," LINDENHURST",40.68677,-73.37345
"172","Webb","LINDENHURST","NY",1," LINDENHURST",40.68677,-73.37345
"173","Webb","LITCHFIELD","CT",1," LITCHFIELD",41.79249,-73.24532
"174","Webb","LIVERMORE","CA",2," LIVERMORE",37.68187,-121.76801
"175","Webb","LIVINGSTON","TX",2," LIVINGSTON",42.60292,-83.91153
"176","Webb","LOCUST GROVE","VA",1," LOCUST GROVE",33.34595,-84.10908
"177","Webb","LOMBARD","IL",1," LOMBARD",41.88003,-88.00784
"178","Webb","LONG BEACH","CA",1," LONG BEACH",33.76696,-118.18923
"179","Webb","LOS ALTOS","CA",1," LOS ALTOS",37.38522,-122.11413
"180","Webb","LOS ALTOS HILLS","CA",1," LOS ALTOS HILLS",37.37966,-122.13746
"181","Webb","LOS ANGELES","CA",9," LOS ANGELES",34.05223,-118.24368
"182","Webb","LOS GATOS","CA",1," LOS GATOS",37.22661,-121.97468
"183","Webb","LOS RANCHOS","NM",1," LOS RANCHOS",21.13333,-77.98333
"184","Webb","LOVETTSVILLE","VA",4," LOVETTSVILLE",39.2726,-77.63666
"185","Webb","LYNCHBURG","VA",2," LYNCHBURG",37.41375,-79.14225
"186","Webb","MADISON","CT",1," MADISON",34.76309,-86.55021
"187","Webb","MAGNOLIA","TX",1," MAGNOLIA",33.26707,-93.23933
"188","Webb","MAHWAH","NJ",1," MAHWAH",41.08871,-74.14376
"189","Webb","MALIBU","CA",1," MALIBU",34.00501,-118.81009
"190","Webb","MANASSAS","VA",3," MANASSAS",38.75095,-77.47527
"191","Webb","MARIETTA","GA",1," MARIETTA",33.9526,-84.54993
"192","Webb","MARQUETTE","MI",1," MARQUETTE",46.54354,-87.39542
